,,30/06/2000,31/07/2000,31/08/2000,30/09/2000,31/10/2000,30/11/2000,31/12/2000,31/01/2001,28/02/2001,31/03/2001,30/04/2001,31/05/2001,30/06/2001,31/07/2001,31/08/2001,30/09/2001,31/10/2001,30/11/2001,31/12/2001,31/01/2002,28/02/2002,31/03/2002,30/04/2002,31/05/2002,30/06/2002,31/07/2002,31/08/2002,30/09/2002,31/10/2002,30/11/2002,31/12/2002,31/01/2003,28/02/2003,31/03/2003,30/04/2003,31/05/2003,30/06/2003,31/07/2003,31/08/2003,30/09/2003,31/10/2003,30/11/2003,31/12/2003,31/01/2004,29/02/2004,31/03/2004,30/04/2004,31/05/2004,30/06/2004,31/07/2004,31/08/2004,30/09/2004,31/10/2004,30/11/2004,31/12/2004,31/01/2005,28/02/2005,31/03/2005,30/04/2005,31/05/2005,30/06/2005,31/07/2005,31/08/2005,30/09/2005,31/10/2005,30/11/2005,31/12/2005,31/01/2006,28/02/2006,31/03/2006,30/04/2006,31/05/2006,30/06/2006,31/07/2006,31/08/2006,30/09/2006,31/10/2006,30/11/2006,31/12/2006,31/01/2007,28/02/2007,31/03/2007,30/04/2007,31/05/2007,30/06/2007,31/07/2007,31/08/2007,30/09/2007,31/10/2007,30/11/2007,31/12/2007,31/01/2008,29/02/2008,31/03/2008,30/04/2008,31/05/2008,30/06/2008,31/07/2008,31/08/2008,30/09/2008,31/10/2008,30/11/2008,31/12/2008,31/01/2009,28/02/2009,31/03/2009,30/04/2009,31/05/2009,30/06/2009,31/07/2009,31/08/2009,30/09/2009,31/10/2009,30/11/2009,31/12/2009,31/01/2010,28/02/2010,31/03/2010,30/04/2010,31/05/2010,30/06/2010,31/07/2010,31/08/2010,30/09/2010,31/10/2010,30/11/2010,31/12/2010,31/01/2011,28/02/2011,31/03/2011,30/04/2011,31/05/2011,30/06/2011,31/07/2011,31/08/2011,30/09/2011,31/10/2011,30/11/2011,31/12/2011,31/01/2012,29/02/2012,31/03/2012,30/04/2012,31/05/2012,30/06/2012,31/07/2012,31/08/2012,30/09/2012,31/10/2012,30/11/2012,31/12/2012,31/01/2013,28/02/2013,31/03/2013,30/04/2013,31/05/2013,30/06/2013,31/07/2013,31/08/2013,30/09/2013,31/10/2013,30/11/2013,31/12/2013,31/01/2014,28/02/2014,31/03/2014,30/04/2014,31/05/2014,30/06/2014,31/07/2014,31/08/2014,30/09/2014,31/10/2014,30/11/2014,31/12/2014,31/01/2015,28/02/2015,31/03/2015,30/04/2015,31/05/2015,30/06/2015,31/07/2015,31/08/2015,30/09/2015,31/10/2015,30/11/2015,31/12/2015,31/01/2016,29/02/2016,31/03/2016,30/04/2016,31/05/2016,30/06/2016,31/07/2016,31/08/2016,30/09/2016,31/10/2016,30/11/2016,31/12/2016,31/01/2017,28/02/2017,31/03/2017,30/04/2017,31/05/2017,30/06/2017,31/07/2017,31/08/2017,30/09/2017,31/10/2017,30/11/2017,31/12/2017,31/01/2018,28/02/2018,31/03/2018,30/04/2018,31/05/2018,30/06/2018,31/07/2018,31/08/2018,30/09/2018,31/10/2018,30/11/2018,31/12/2018,31/01/2019,28/02/2019,31/03/2019,30/04/2019,31/05/2019,30/06/2019,31/07/2019,31/08/2019,30/09/2019,31/10/2019,30/11/2019,31/12/2019,31/01/2020,29/02/2020,31/03/2020,30/04/2020,31/05/2020,30/06/2020,31/07/2020,31/08/2020,30/09/2020,31/10/2020,30/11/2020,31/12/2020,31/01/2021,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022,31/03/2022,30/04/2022,31/05/2022,30/06/2022,31/07/2022,31/08/2022,30/09/2022,31/10/2022
Rand Mining Ltd,RND,-9.09091,120,-1.81818,-1.85185,69.81132,27.77778,-8.69565,9.52381,-15.65217,-17.52577,27.5,17.64706,12.5,-11.11111,-12.5,-23.80952,-16.25,4.47761,17.14286,3.65854,17.64706,6,-8.49057,26.80412,-12.19512,-11.11111,-6.25,-11.11111,18.75,-5.26316,-1.11111,10.11236,-12.2449,-6.97674,0,-2.5,-16.66667,-7.69231,8.33333,6.15385,1.44928,-14.28571,-1.66667,-15.25424,-2,-6.12245,-13.04348,0,-7.5,27.02703,-25.53192,-14.28571,0,63.33333,0,-16.32653,-9.7561,5.40541,-25.64103,-3.44828,-21.42857,27.27273,-17.85714,30.43478,-3.33333,-10.34483,53.84615,5,-14.28571,2.77778,-8.10811,8.82353,-28.37838,13.20755,0,-6.66667,7.14286,40,0,-23.80952,7.8125,-4.34783,28.78788,12.94118,-20.83333,27.63158,23.71134,23.33333,-8.10811,24.26471,-11.2426,6.66667,-12.5,-7.14286,-7.69231,-16.66667,-18,-2.43902,2.5,2.43902,-1.19048,0,-3.61446,-25,0,-16.66667,20,-13.33333,26.92308,0,0,3.0303,0,20.58824,-2.43902,-6.24664,11.42857,28.20513,-34,0,15.15152,31.57895,-14,-2.32558,40.47619,-0.84746,9.40171,-5.46875,0.82645,-1.63934,0,5,-7.93651,0,3.44828,-3.33333,-13.7931,-22,-10.25641,14.28571,0,5,4.76191,-9.09091,-2.5,2.5641,-8.75,-9.58904,6.06061,0,2.85714,-11.11111,0,-3.125,45.16129,-22.22222,0,8.57143,7.89474,3.65854,23.52941,-5.71429,-11.11111,4.54546,3.26087,8.42105,5.82524,-0.91743,2.77778,17.11712,-13.84615,-8.92857,29.41176,-9.09091,8.33333,50,23.07692,8.33333,23.07692,14.6875,8.99183,-8.5,-4.37159,-2.85714,-5.88235,-4.375,-15.03268,11.53846,0,11.72414,25.92593,17.15686,-7.94979,26.36364,0.71942,-14.28571,-6.25,-15.55556,-13.1579,9.09091,16.66667,-4.76191,0,6,41.50943,-13.33333,23.2,2.5974,-5.06329,-10,7.77778,-3.78007,0.35714,-5.69395,5.66038,-1.78571,-1.81818,-7.40741,3.6,40.96386,1.76991,-15.21739,3.07692,-2.98508,-13.07692,46.31268,-7.25807,28.26087,11.18644,0.60976,-3.0303,-5.9375,2.99003,-16.66667,-5.6,-0.42373,-14.04255,-23.26733,17.74194,12.87671,0,15.53398,-11.76471,-0.47619,13.39713,-13.50211,-6.92308,-3.0303,-9.65909,-5.66038,-5.33333,5.6338,-3.33333,4.13793,0.66225,-1.31579,6.66667,-0.66667,-2.01342,-0.68493,7.58621,-0.64103,-3.22581,0,-12.33333,14.06844,-7.33333,7.91367,5.33333
Raptis Group Ltd,RPG,7.69231,-21.42857,27.27273,-3.57143,0,-3.7037,0,-23.07692,30,-23.07692,5,23.80952,7.69231,28.57143,2.77778,-18.91892,40,-2.38095,2.43902,-14.28571,0,-27.77778,0,-11.53846,56.52174,-16.66667,13.33333,0,23.52941,16.66667,2.04082,0,-12,4.54546,8.69565,-6,4.25532,8.16327,13.20755,16.66667,0,-1.42857,0,7.24638,21.62162,28.88889,-5.17241,-9.09091,10,0,0,0,3.63636,24.5614,40.84507,-25,-2.66667,-17.80822,31.66667,-24.05063,8.33333,3.07692,16.41791,-11.53846,27.53623,2.27273,2.22222,2.17391,-4.25532,-2.22222,-7.95455,4.93827,12.94118,-3.64583,12.43243,0.48077,-12.91866,12.08791,0,2.94118,8.57143,1.75439,8.62069,1.65289,-2.43902,-4.16667,-4.34783,4.54546,4.34783,0,-8.69565,-5.71429,-6.56566,2.7027,6.66667,0,-4.16667,0,-13.04348,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,0,0,0,-3.33333,0,0,-82.75862,0,0,0,20,0,13.33333,0,0,-11.76471,16.66667,-14.28571,0,0,0,0,16.66667,14.28571,0,0,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,0,-4.08163,-36.17021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Raw Capital Partners Ltd,RCA,,3,-5.82524,-22.68041,12,-10.71429,-6.66667,-7.71429,-42.72446,-32.43243,-10,-15.55556,13.1579,-44.18605,-8.33333,-36.36364,7.14286,33.33333,60,-31.25,68.18182,-21.62162,-6.89655,3.7037,-42.85714,-25,21.66667,-9.58904,51.51515,50,0,-13.33333,-7.69231,-20.83333,-20,-1.31579,20,-16.66667,-8,-2.89855,-5.97015,49.20635,38.29787,23.07692,-49.375,17.28395,-18.94737,42.85714,-4.54546,14.28571,8.33333,-3.84615,-4,8.33333,-3.84615,0,28,-18.75,-23.07692,-14,6.97674,8.69565,-10,5.55556,-9.47368,0,-4.65116,-8.53659,6.66667,0,-11.25,-1.40845,-14.28571,0,0,-33.33333,100,18.75,-44.21053,0,-28.30189,31.57895,-10,53.33333,-44.92754,-2.63158,0,0,8.10811,0,0,0,0,10,0,-15.90909,-45.94595,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realm Resources Ltd,RRP,5.66038,257.1429,0,0,0,0,0,-71.5,-12.2807,0,0,-20,-25,0,0,0,0,0,0,26.66667,0,0,0,-42.10526,0,-9.09091,0,0,0,0,0,0,0,0,0,0,-20,0,0,175,9.09091,-16.66667,0,0,0,0,0,0,-87,0,0,0,0,34.61538,0,0,0,0,0,0,0,0,0,0,0,28.57143,0,0,-11.11111,0,25,0,0,0,10,-7.27273,47.05882,6.66667,0,-3.75,-22.07792,-6.66667,10.71429,19.35484,-5.40541,37.14286,45.83333,-3.57143,14.81481,-16.12903,7.69231,-28.57143,15,8.69565,-24,5.26316,-29,25.35211,0,-52.24719,-41.17647,-20,25,6,32.07547,-12.85714,6.55738,30.76923,76.47059,26.66667,0,15.78947,-31.81818,-6.66667,-10.71429,-16,14.28571,25,0,-33.33333,-15,5.88235,-22.22222,1.42857,0,111.2676,-16.66667,-26.4,0,30.43478,29.16667,-35.48387,15,0,-4.34783,-18.18182,0,-16.66667,6.66667,0,-12.5,7.14286,-6.66667,-31.42857,-37.5,-23.33333,0,-21.73913,16.66667,-19.04762,5.88235,-22.22222,-14.28571,-50,33.33333,-25,-33.33333,0,0,0,0,0,0,-25,-66.66666,0,0,200,-33.33333,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-50,2200,78.26087,0,0,0,0,0,0,0,0,75.60976,18.05556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebel Sport Ltd,REB,10.86957,4.10959,0,-5.26316,-9.72222,10,-5.71429,1.51515,5.97015,-7.04225,31.81818,-3.44828,0.59524,95.18073,0.61728,-3.68098,-6.36943,0,8.84354,-6.25,4,21.79487,11.01289,2.43902,-7.61905,2.06186,5.55556,10.52632,-4.78261,-0.91324,-1.38249,-4.20561,2.43902,-5.2381,3.51759,-2.43902,12,9.375,5.30612,25.1938,2.20126,-3.07692,-6.98413,-4.09556,-3.91459,4.44445,0,-0.72202,-1.81818,10,-5.72391,6.42857,5.36913,2.2293,-0.63291,-4.77707,-13.04348,5.76923,-7.27273,-15.6,-5.21327,9.5,-3.19635,13.20755,3.75,9.63856,2.23881,10.58394,10.56106,7.91045,-0.84746,-1.7094,1.44928,-4,-0.59524,13.77246,9.21053,10.96386,-0.883,0.22272,-1.11111,2.69663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reece Ltd,REH,0,0.05637,1.40845,2.77778,13.51351,-2.43902,0,-4,-1.04167,-3.94737,0,13.88889,-2.43902,3.75,-0.48193,1.93705,-1.09264,2.43902,2.38095,2.32558,0.04545,14.26624,16.7002,20.68966,7.14286,-10.66667,4.47761,-5.71429,-1.36364,-0.78125,-5.19685,5.48173,0.7874,-0.23438,1.42631,4.6875,4.47761,12.14286,-0.63694,2.30769,-3.69674,-0.66225,4,-3.84615,6.66667,4.625,0,-0.96618,0.60976,10.30303,9.89011,4.9,3.8835,9.43925,15.28608,0,-3.40741,-0.15337,-6.20155,-0.82645,7.5,-3.10078,3.2,11.31783,-2.12766,5.43478,3.09278,3.33333,-1.6129,0.59016,-0.65789,2.31788,-0.64725,-1.62866,-0.66225,15,7.76812,9.2947,-0.95048,16.66667,2.51082,2.15372,2.41465,14.63415,-0.53191,-1.85383,-0.10897,3.63636,0.35088,-0.99115,-4.18305,-7.08955,-6.82731,0,2.17391,-4.25532,-6.66667,-5.95238,1.26582,5,-14.90476,-7.42857,-2.40741,-0.37951,-0.31746,3.05733,18.125,2.1164,-6.73575,11.27778,7.33899,11.62791,3.45833,-4,4.16667,0,2.28571,3.55148,-2.52427,-2.78885,-0.81967,-0.82645,-1.45833,-0.71882,-3.40716,-1.79372,1.55251,-0.85432,4.30839,-1.73913,-6.20813,4.28571,-5.6621,0.09681,-7.64023,1.57068,-3.57895,2.07424,-1.60428,5.43478,-4.63918,2.75676,-1.59575,-2.16216,-0.55249,0.05556,5.49695,9.21053,-0.48193,5.28395,5.06567,-1.875,6.18744,3.72751,-3.20833,1.11924,1.31971,-0.84034,5.9322,5,8.22857,10.71429,4.83871,3.04615,-4.44909,-5.53125,0,-0.69977,1.47651,2.84392,5.14469,1.68196,0.51128,-2.27273,1.9845,-1.91548,6.94358,0.69565,-1.01449,5.32943,-3.50292,-4.92653,8.78788,-2.50696,-1.2,2.75984,-2.31429,-6.1129,2.18069,3.29268,7.40851,5.81717,-3.14136,5.40541,15.58974,-0.24401,-0.71159,1.13636,0.78652,-0.71349,-3.43589,-4.09302,-0.14652,-0.97823,3.72932,0.71429,-0.1182,1.45562,4.98075,8.37661,0.3125,-0.93458,5.7652,6.83845,-1.1194,13.44496,6.39193,-3.24111,2.69608,-9.86476,-7.03884,-1.92493,-2.35525,-0.1005,5.03018,-4.98084,4.66531,0.5814,-5.97303,7.88934,-5.41311,8.83534,-3.02122,-0.48216,11.04651,-2.87958,3.32435,-20.34783,-2.33341,2.60476,1.43488,8.70511,22.12212,6.14754,6.25483,-1.31387,9.46746,8.17568,1.18676,6.17284,18.26138,1.03601,15.2832,-0.42355,-11.18673,-8.38123,4.6001,17.74761,15.41418,-19.57085,-10.90156,-1.21322,-8.13221,-8.45231,-14.03618,10.5225,5.12147,-12.42973,11.84023
Reef Casino Trust,RCT,8.59375,0,11.9403,-8,0,-4.34783,10.60606,-4.28571,0,7.46269,-2.77778,1.42857,7.04225,0,6.84932,-16.66667,0,-7.69231,14.375,-0.76336,0.76923,-0.76336,7.69231,7.14286,2,-1.36054,-4.82759,-2.17391,0,0,9.81482,-3.52113,2.18978,2.85714,2.77778,3.37838,5.88235,4.48718,10.42945,7.77778,10.82474,-5.11628,2.08333,-0.49751,15,3.91304,4.60251,-3.2,14.56612,1.48148,10.58394,-2.64026,16.27119,0.58309,2.31884,-5.7971,-3.07692,-3.49206,-3.94737,7.87671,2.69841,-4.12698,-0.66225,-0.66667,-2.34899,3.09278,3.5,3.33333,1.6129,6.34921,5.97015,-0.28169,4.9435,3.93258,6.75676,-2.53165,1.2987,5.64103,5.82524,4.04762,-1.60183,-2.32558,1.19048,-4.70588,1.35803,-3.79747,-3.94737,-3.56164,0.85227,0,2.39437,-14.28571,0,0,2.33333,-5.53746,-16.72414,8.22511,2,-1.96078,-16,-3.80952,0.74257,0,-2.63158,2.7027,5.26316,-3,1.03093,-4.32432,3.9548,3.80435,4.71204,-1,4.0404,1.03627,-2.05128,4.71204,0.5,-0.49751,-0.5,1.57895,-10.36269,2.89017,1.1236,0,8.88889,-10.81081,4.24242,0.5814,-2.89017,1.19048,2.35294,4.84849,4.04624,-5.55556,4.41177,-1.40845,6.28571,5.71429,1.62162,6.91489,9.45274,-2.27273,6.97674,-2.26244,8.7963,0.42553,10.16949,0,-5.76923,9.44206,3.92157,-1.88679,4.61539,-2.57353,2.07547,-3.84615,0,8,-3.7037,50.76923,0.63776,1.85676,4.16667,1.25,2.71605,-0.72115,0.18644,-8.64198,13.51351,-0.2381,-4.53461,-32.25,18.54243,-0.98684,-1.49502,4.55312,3.54839,4.36137,2.38806,6.06061,-4.28571,8.0597,3.31492,0.80214,1.33687,0,-6.30137,2.33918,-0.85714,2.88184,6.97759,-0.27027,-2.98103,-0.27933,0,7.98319,6.61479,-5.76441,-4.25532,-2.5,-1.7094,-11.88406,2.75,-5.90164,-7.31707,7.14286,0,-1.40351,21.88612,-8.25688,1.33333,8.22368,-2.43161,0.93458,-5.9537,1.01695,-1.34228,4.42177,0.9772,6.45161,-4.37273,1.63934,-2.90323,-0.99668,-1.34228,-5.44218,-12.57554,6.25,-7.45098,-2.54237,2.17391,-1.2766,18.7931,-4.5283,-14.22925,-23.96313,24.24242,-9.7561,2.97297,10.23622,-9.52381,-3.1579,-4.8913,42.85714,13.904,-9.81818,-7.25807,2.17391,6.38298,-3.2,1.3595,13.73391,0,0,1.13208,-0.74627,23.79323,-11.21795,5.41516,3.76712,3.30033,-2.23642,2.34641,-2.33333,8.87372,-2.82132,1.93548
Rent.com.au Ltd,RNT,0,5.26316,-15,-2.94118,-45.45454,-11.11111,-25,25,-6.66667,-28.57143,-12.5,-53.64133,12.5,11.11111,30,-15.38461,-27.27273,93.75,19.35484,54.05405,-12.2807,-10,-11.11111,-3.125,-19.35484,-44,-20,25,-25.71428,-17.30769,-2.32558,78.57143,-38.66667,8.69565,0,0,40,41.07143,72.1519,1.47059,-8.69565,-12.69841,-9.09091,0,-20,0,-12.5,-28.57143,2,9.80392,67.85714,0,-5.31915,12.35955,10,-7.27273,-7.84314,-14.89362,3.75,-26.50602,-11.47541,-11.11111,-12.5,-14.28571,-2.77778,-10.88829,-19.35484,1.67,-4,-18.33333,-28.57143,14.28571,-18.75,3.07692,-17.91045,-27.27273,37.5,-23.07573,-16,33.33333,7.14286,-10,11.11111,-20,16.66667,-17.85714,13.04348,-15.38461,4.54546,4.34783,4.16667,-16,-9.52381,-5.26316,-5.55556,-17.64706,-14.28571,-8.33333,-27.27273,12.5,-44.44444,0,20,-16.66667,-40,33.33333,75,-28.57143,-40,66.66666,0,-20,75,0,0,0,0,14.28571,-25,-16.66667,-20,-25,66.66666,50.68752,0,0,50,50,22.22222,-18.18182,-22.22222,-14.28571,0,0,-16.66667,0,-20,0,0,-25,33.33333,-25,33.33333,-25,-33.33333,100,0,0,0,-35,-23.07692,-15,-5.88235,0,-50,-37.5,-80,0,0,0,-10,11.11111,-30,14.28571,-25,-16.66667,-20,25,-20,25,20,-33.33333,25,-20,25,0,20,0,-16.66667,39.9994,-22.85604,-8.33333,-9.09091,6.66667,25,132.5,-26.88172,-20.58824,-22.22222,-14.28571,-4.78772,0,-5.88235,-9.375,-34.48276,0,12.57315,-9.52381,-7.36842,-3.40909,0,-8.23529,2.5641,12.5,-27.77778,0,18.46154,-1.2987,-21.05263,-1.66667,1.69492,13.33333,2.94118,32.85714,-3.22581,-2.22222,-2.27273,-9.30233,-8.97436,-4.22535,-19.11765,-12.72727,0,-4.16667,-19.56522,8.10811,-5,-23.68421,20.68966,2.85714,2.77778,-10.81081,0,0,60.60606,-5.66038,-10,-44.44444,60,-17.5,0,15.15152,31.57895,-4,2.08333,-6.12245,4.34783,-10.41667,411.6279,4.54546,8.69565,-36,-25,-4.16667,-14.78261,-4.08163,2.12766,-27.08333,-8.57143,-6.25,-16.66667,8,-12.96296,-14.89362,-30,25,-5.71429,9.09091,8.33333
ResMed Inc CHESS Depositary Interests on a ratio of 10 CDIs per ord.sh,RMD,9.62353,3.0264,26.04167,0.82645,-15.08197,27.33591,10.58217,5.56622,15.45455,-6.61417,6.84173,22.32244,-4.35023,0.4047,0.17274,1.83943,10.07526,-2.57243,-8.33333,-15.78947,-20.54545,9.41076,-11.11111,-29.41176,7.08333,-0.38911,10.54688,-8.12721,8.46154,3.7234,-7.35043,3.13653,-6.97674,0.19231,10.55662,3.29861,0.5042,2.67559,8.46906,-4.35435,-5.80848,-10.16667,5.00928,-4.24028,10.70111,-1.33333,15.03378,3.37739,3.97727,-4.64481,-4.44126,-0.14993,-4.65466,1.10236,0.77882,1.23648,13.28244,-2.29111,8.82759,4.18251,4.37956,2.331,9.33941,8.33333,-0.96154,8.73786,-6.25,0.7619,6.42722,8.34814,-4.09836,-0.68376,6.71256,-1.45161,-12.11129,0.55866,6.48148,11.65217,-1.40187,6.31912,-9.80684,2.80066,-16.34615,3.44828,-10.55556,4.96894,-0.78895,-2.58449,-8.16327,14.88889,15.08704,-14.78992,-14.20118,3.90805,1.54867,-10.67538,-11.46341,9.36639,35.76826,0.18553,-8.33333,8.68687,-0.37175,15.67164,-3.06452,-11.81364,1.88679,-14.44444,12.33766,-4.81696,10.12146,-4.59559,5.00963,1.10092,7.62251,-2.36088,11.05354,8.8647,1.14286,5.9322,-3.6,0.13831,-6.35359,-0.29499,0.88757,-1.17302,3.56083,-8.30946,-2.8125,-6.43087,1.37457,2.0339,-4.65116,-4.87805,4.0293,3.52113,-7.82313,-5.53506,-3.51563,10.93117,0.72993,8.69565,9,-3.0581,-3.15457,-1.30293,20.79208,5.57145,0.51948,2.94315,-0.75567,6.09137,2.96651,1.6317,5.73395,12.90022,-3.66089,3.2,5.49225,4.24354,-4.0708,-0.87638,-0.93458,-5.09434,-2.11531,-3.06122,14.10526,0.31458,1.2939,0.54745,4.09437,-0.52539,4.22535,6.12331,11.04,16.42651,2.23725,13.00121,-13.22581,-4.21097,-5.58442,10.04127,-8.625,-0.5472,10.59147,3.60697,-10.68427,8.19893,0.49689,-8.15822,0.40377,8.84719,2.21675,10.84337,-2.5,-5.46265,-7.54717,5.86735,3.37349,4.07925,4.81523,-0.74786,-1.39935,3.21659,6.69501,-3.78486,-0.16563,1.45833,11.19096,4.11477,-2.13713,13.46679,-1.0058,0.4878,2.589,6.99459,4.28994,-0.07092,9.86515,2.51938,-6.74228,1.28378,6.20414,-17.90201,11.0176,-0.41351,1.52249,11.24744,5.20833,10.65812,8.67249,-3.69111,7.2113,4.59356,-1.2624,14.38356,-2.16441,0.9816,-5.22479,1.36752,16.10455,2.687,-13.67084,-1.92939,16.86898,1.41008,-3.64473,-0.03672,-9.6237,2.85132,3.64356,3.76623,20.84102,10.25641,11.42867,-7.31525,-0.21477,-2.24086,-1.37817,-10.84405,4.88555,-2.93413,-10.11721,0.34339,5.17478,11.46953,-5.89414,5.29101,0.65031
Retail Technology & Services Ltd,RTS,22.58064,0,-5.26316,12.5,-1.23457,-7.5,0,-13.51351,-18.75,-21.15385,-2.43902,-15,-44.11765,26.31579,-41.66667,-50,42.85714,100,10,-34.54546,2.77778,35.13514,-30,-7.14286,-30.76923,11.11111,130,-4.34783,4.54546,-39.13044,7.14286,-13.33333,23.07692,-6.25,0,-6.66667,-24.28572,32.07547,0,-7.14286,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridley Corp Ltd,RIC,1.78571,8.77193,-8.06452,7.01754,0,15.25424,-2.94118,16.66667,3.8961,-13.75,5.97015,-2.8169,0,5.7971,26.71233,-3.78378,13.48315,8.08081,1.86916,8.25688,9.32203,-0.77519,4.76191,4.54546,-0.72464,-4.37956,6.10687,0.71942,-1.78571,2.22222,12.31884,-5.80645,-1.36986,3.81944,4.76191,-3.24675,4.69799,4.48718,-11.04294,1.37931,-14.79592,-4.09836,9.40171,-2.34375,7.2,4.85075,-1.44928,-7.35294,0.79365,5.51181,-1.49254,2.27273,4.62963,-1.44928,-0.73529,7.40741,-2.58621,7.97101,-12.75168,3.84615,0,6.66667,-0.52083,0,-1.07143,3.97112,-7.29167,-5.61798,10.71429,-2.94118,-5.30303,0.4,-3.58566,-3.30579,1.28205,-1.26582,-3.96476,3.66973,3.09735,3.43348,-5.80913,2.72727,2.65487,6.46552,-6.07288,-5.17241,1.81818,7.8341,-2.5641,1.75439,0,0,1.2931,-1.31579,-3.11111,30.27523,-17.95775,2.57511,-5.85774,-11.11111,-19.68912,3.22581,0,-3.75,2.5974,-9.93378,22.79412,-7.78443,1.2987,6.41026,27.71084,7.07547,-3.18182,-0.93897,4.2654,0.90909,-0.45045,6.33484,6.14035,-4.95868,0,3.04348,2.53165,10.0823,-5.38462,3.65854,-3.52941,2.84553,0.39526,-0.98425,9.42623,-4.86891,-3.14961,-2.43902,-10,1.62037,9.90566,-14.59227,5.52764,-2.85714,13.23529,4.54546,3.4188,-16.52892,0.9901,1.96078,10.57692,4.56522,-1.28755,-4.78261,0.45662,7.27273,-7.62712,-14.6789,-8.60215,-5.29412,-6.8323,14.66667,-6.39535,3.10559,3.01205,0.5848,0.5814,-6.93642,3.72671,-0.5988,3.61446,0.59172,-6.47059,3.14465,8.53659,-2.24719,2.29885,9.77012,-1.57068,-3.19149,14.28571,2.88462,7.00935,5.30973,5.04202,8,-7.40741,3.6,2.7027,25.19084,-7.31707,-2.96053,-6.1017,-4.69314,1.89394,8.27068,-2.77778,3.57143,-7.93104,0.74906,-5.57621,0.40161,0,2.8,-3.50195,7.66129,8.2397,-1.3986,-1.77305,3.2491,-5.59441,-0.74074,9.64552,-4.13793,-0.71942,-0.36232,4,4.1958,-13.42282,12.15686,-3.84615,-4,5.30303,9.71223,-3.11475,-4.13793,-6.83453,8.10811,0,-1.07143,0.72202,-7.24638,-7.03125,-7.14286,-2.26244,-7.87037,11.80904,0,-3.22581,-1.90476,-16.01942,-21.38728,6.61765,4.22535,-2.02703,2.06897,7.43243,2.51572,-2.45399,16.98113,-1.6129,-1.91257,17.54875,13.74408,-10.83333,12.14953,-5,0,14.03509,3.07692,0.37313,4.5283,7.94224,-6.02007,2.4911,17.36111,2.01183,3.5503,2.28571,-5.58659,23.07692,-1.92308,4.41177
